,year,month,ticker,list_date,company_name,icb_industry,icb_supersector,country_of_incorporation,market_cap,eps,p/e,p/s,datetime
115736,2016,12,CNIC,2013-09-02,CENTRALNIC GROUP PLC               ,Software & Computer Services,Internet,United Kingdom,45.07034356,0.01,46.94827454166666,0.22916666666666666,2016-12-01
115762,2016,12,CIR,2014-03-18,CIRCASSIA PHARMACEUTICALS PLC      ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,265.918401,0.14,6.664621578947368,0.08070175438596491,2016-12-01
115780,2016,12,CBUY,2005-12-14,CLOUDBUY PLC                       ,Software & Computer Services,Software,United Kingdom,4.375591885,-0.03,-1.1219466371794873,0.013153846153846151,2016-12-01
115781,2016,12,CALL,2012-09-26,CLOUDCALL GROUP PLC                ,Software & Computer Services,Software,United Kingdom,13.540734900000002,-0.2,-3.385183725,0.243,2016-12-01
115799,2016,12,CCC,2013-06-12,COMPUTACENTER                      ,Software & Computer Services,Computer Services,United Kingdom,1052.748256,0.54,15.849868352905753,26.382113821138212,2016-12-01
115802,2016,12,CNC,1996-07-04,CONCURRENT TECHNOLOGIES            ,Technology Hardware & Equipment,Computer Hardware,United Kingdom,45.0309038,0.05,12.337233917808216,0.2191780821917808,2016-12-01
115815,2016,12,CNS,2011-03-02,CORERO NETWORK SECURITY PLC        ,Software & Computer Services,Software,United Kingdom,17.79904368,-0.06,-1.4613336354679805,0.04320197044334975,2016-12-01
115860,2016,12,DFX,2015-12-03,DEFENX PLC                         ,Software & Computer Services,Software,United Kingdom,7.84220346,0.21,4.332230394431555,0.8225058004640372,2016-12-01
115873,2016,12,DSG,2006-06-15,DILLISTONE GROUP                   ,Software & Computer Services,Software,United Kingdom,18.55464192,0.03,30.924403200000004,0.4980000000000001,2016-12-01
115897,2016,12,DRX,2005-12-15,DRAX GROUP                         ,Electricity,Electricity,United Kingdom,1516.620466,0.57,6.537438967196863,7.248157248157248,2016-12-01
115920,2016,12,ECSC,2016-12-14,ECSC GROUP PLC                     ,Software & Computer Services,Computer Services,United Kingdom,19.74211755,0.03,73.20028754171302,0.5016685205784205,2016-12-01
115921,2016,12,EDEN,2012-05-11,EDEN RESEARCH                      ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,19.82838993,-0.01,-10.718048610810813,0.002108108108108108,2016-12-01
